Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,0.256,0.157,0.176,0.078,0.057,0.09,0.037,0.057,0.124,0.067,0.048,0.094,0.094,0.121,0.13876040703052728
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,0.0,0.184,0.177,0.249,0.0,0.083,0.159,0.081,0.0,0.0,0.0,0.058,0.0,0.409,0.0
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,0.473,0.137,0.287,0.256,0.14,0.288,0.066,0.117,0.105,0.04,0.059,0.098,0.1,0.056,0.15217804831653034
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,0.427,0.375,0.229,0.146,0.04,0.121,0.16,0.041,0.077,0.11,0.046,0.053,0.088,0.143,0.14196789341487387
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,0.221,0.228,0.215,0.222,0.142,0.149,0.079,0.099,0.025,0.0,0.023,0.021,0.107,0.021,0.04272591326639607
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,0.508,0.252,0.263,0.186,0.128,0.142,0.086,0.073,0.185,0.038,0.137,0.049,0.023,0.034,0.14048232264106766
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,0.306,0.238,0.242,0.096,0.116,0.109,0.044,0.09,0.087,0.041,0.019,0.056,0.127,0.125,0.03969041476483429
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,0.411,0.382,0.299,0.09,0.208,0.04,0.084,0.0,0.0,0.071,0.068,0.034,0.031,0.098,0.03844675124951942
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,0.491,0.592,0.517,0.425,0.353,0.231,0.24,0.244,0.228,0.187,0.185,0.29,0.246,0.277,0.2713439121279875
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,0.773,1.058,0.705,0.727,0.425,0.44,0.312,0.25,0.422,0.412,0.313,0.504,0.395,0.453,0.3047513506025766
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,0.862,1.148,1.187,1.83,1.531,0.89,0.298,1.37,1.087,1.203,1.449,2.731,1.441,1.152,1.9930675909878681
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,0.843,1.075,0.839,0.652,0.611,0.347,0.653,0.6,0.282,0.187,0.047,0.435,0.327,0.306,0.34071550255536626
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,0.58,0.297,0.384,0.206,0.262,0.157,0.199,0.099,0.062,0.089,0.118,0.14,0.099,0.156,0.05184033177812338
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,0.514,0.299,0.121,0.226,0.141,0.069,0.107,0.073,0.134,0.064,0.0,0.124,0.094,0.214,0.2480022044640397
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,0.467,0.519,0.478,0.423,0.265,0.206,0.252,0.272,0.177,0.118,0.086,0.123,0.146,0.153,0.18125323666494045
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,0.462,0.702,0.199,0.065,0.184,0.179,0.187,0.229,0.668,0.487,0.381,0.472,0.601,1.008,0.8708272859216255
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,0.613,0.779,0.925,0.75,0.747,0.393,0.324,0.454,0.324,0.107,0.4,0.285,0.243,0.161,0.39308176100628933
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,0.375,0.412,1.434,0.0,0.302,0.0,0.0,0.273,0.543,0.0,0.27,0.206,0.234,0.0,0.2824858757062147
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,0.247,0.321,0.088,0.201,0.153,0.107,0.15,0.0,0.11,0.109,0.072,0.145,0.034,0.101,0.09950248756218905
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,0.325,0.305,0.459,0.286,0.252,0.133,0.167,0.204,0.033,0.063,0.031,0.12,0.092,0.096,0.034423407917383825
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,0.329,0.409,0.565,0.274,0.272,0.163,0.166,0.087,0.05,0.132,0.132,0.131,0.075,0.139,0.09074410163339383
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,0.15,0.517,0.406,0.123,0.177,0.081,0.174,0.089,0.106,0.052,0.051,0.071,0.151,0.242,0.1400560224089636
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,0.251,0.258,0.256,0.218,0.134,0.122,0.184,0.161,0.192,0.167,0.139,0.177,0.16,0.139,0.181530561966754
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,0.351,0.354,0.445,0.48,0.264,0.154,0.237,0.187,0.055,0.05,0.221,0.09,0.125,0.101,0.13611615245009073
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,1.064,0.118,0.126,0.118,0.0,0.0,0.195,0.209,0.299,0.095,0.094,0.087,0.0,0.091,0.09074410163339383
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,0.161,0.202,0.163,0.115,0.08,0.024,0.025,0.102,0.18,0.064,0.04,0.0,0.02,0.0,0.12195121951219512
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,0.06,0.277,0.162,0.142,0.102,0.0,0.025,0.0,0.047,0.0,0.058,0.055,0.058,0.038,0.05818463925523662
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,0.223,0.212,0.29,0.217,0.174,0.207,0.268,0.233,0.378,0.454,0.286,0.306,0.344,0.302,0.3294185047264394
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,0.317,0.315,0.157,0.082,0.148,0.0,0.14,0.074,0.068,0.13,0.0,0.177,0.181,0.0,0.06565988181221273
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,0.295,0.152,0.117,0.027,0.025,0.114,0.115,0.137,0.158,0.21,0.062,0.111,0.157,0.137,0.1387787470261697
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,0.0,0.234,0.225,0.331,0.058,0.114,0.223,0.059,0.136,0.041,0.075,0.11,0.037,0.077,0.12091898428053204
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,0.324,0.495,0.979,0.233,0.429,0.604,0.321,0.211,0.2,0.287,0.367,0.523,0.168,0.091,0.4716981132075472
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,0.221,0.118,0.233,0.0,0.0,0.0,0.279,0.0,0.0,0.0,0.0,0.072,0.073,0.212,0.16260162601626016
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,0.292,0.723,0.643,0.786,0.256,0.42,0.832,0.733,0.808,0.441,0.479,1.073,0.685,0.518,0.5578093306288032
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,0.32,0.18,0.062,0.225,0.102,0.094,0.0,0.143,0.048,0.092,0.044,0.084,0.043,0.044,0.09610764055742432
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,0.0,0.0,0.0,0.186,0.358,0.0,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.309,0.0
